,Notice Posted On,Company Name,Eligibility,Job Description & Application Link,Recruitment Type,Company  Reqirements
206,29.11.2016,3d PLM,EL,https://goo.gl/9fDp6P,Direct Company Recruitment,"CAD and PLM products like CATIA, ENOVIA, SMARTEAM and MatrixOne at 3DPLM,functional domain knowledge in Mechanical/Production/Automobile/Electrical.
Knowledge of Testing-Agile
Good Problem Solving & Analytical Skills
Good Communication Skills"
208,29.11.2016,Tata Steel,"Civil,
EC, 
EL, 
IC 
Other",https://goo.gl/Y5hLkr,Direct Company Recruitment,Assistant Engineer Trainee – AET 
210,29.11.2016,Shahlon,"EC
TT
TP",https://goo.gl/fUU1C2,On Campus,"HARD WORK,TECHNICAL KNOWLEDGE ,GOOD COMMUNICATIONS SKILLS,GETTER ATTITUDE, STRONG MANAGEMENT ABILITY"
211,29.11.2016,Sassy Infotech,"CO
IT
MCA",https://goo.gl/vH4a56,On Campus,"Web Developer, PHP frameworks,CodeIgnitor , Magento and Wordpress"
212,29.11.2016,WinR Tech,"CO
IT
MCA",https://goo.gl/hLlqU5,On Campus,"HTML5, CSS3, Javascript,SAAS,Angular, React , UI/Ux for prototype design, RESTful APIs and RPC,AJAX,Unit Testing,problem solving skill"
213,29.11.2016,Sancraft Pvt. Ltd.,"CO
IT
MCA",https://goo.gl/HNtNfm,On Campus,"Core PHP, C, C++, Data Structures, Laravel MVC knowledge ,Good knowledge & Hands on experience of HTML, JavaScript, XML, CSS, Ajax and Database (MySQL)"
214,29.11.2016,Pleasant Inc,"CO
IT
MCA",https://goo.gl/MZm4L7,On Campus,"Vb. Net, c#. Net, Asp. Net, Java Script, HTML, AJAX, SQL Server, visual studio 2010
"
215,29.11.2016,Webxpress,"CO
IT
MCA",https://goo.gl/2yFf2p,On Campus,.NET technologies
216,29.11.2016,ICICI StockMind Students Competition,All,https://goo.gl/Om34x1,On Campus,"  Analytical Thinking
        Quick Thinking
        Decision Making
        Problem Solving"
217,29.11.2016,DRC Techno Management,Any Graduate,https://goo.gl/uLl4gp,On Campus," ability to communicate with people at all levels
  fluent in communicating in English
 demonstrating and presenting products
  good presentation skills
  strong negotiation skills
  good time management skills
  organising sales visits
  confident and authoritative speaker
  results orientated
 aiming to achieve monthly or annual targets
  smart worker"
218,29.11.2016,Bhadani Era,"EL 
Civil",https://goo.gl/BoCLUt,On Campus,Marketing / Accounting
,,Case Point (Internship),"CO
IT
MCA",https://goo.gl/fkA113,On Campus,"
ASP.NET & MVC (C# and VB.NET)
Web API
MS SQL server, PostgreSQL
MongoDB, Redis, Memcache
Elastic Search, Lucene
Data Mining, ML, AI, Analytics
Ext.net
Kendo UI
JavaScript, CSS, HTML5
TFS "
,,Cause Code,"CO
IT
MCA",https://goo.gl/3W6Fhk,On Campus," Java / J2EE,CSS,HTML,Java script,High energy, strong work ethicunderstanding of oop,React, Angular 4 or Vue.js,ersion control(Git) and Linux,communication skills, Spring, Hibernate, Struts
"
,,Acute Informatics Pvt. Ltd.,"CO
IT
MCA",https://goo.gl/VVXee9,On Campus,"Power Builder Developer,PL/Sql,Technical Support Engineer,Test Engineer ,Content Writer, Technical Recruiter "
,,VC ERP Consulting - SAP Partner,"CO
IT
MCA
",https://goo.gl/6NNVIN,On Campus,"Market Research, Gather Industry Data,Content Writing, Participate in Industry Exhibitions, Workshops, Coordinate Website Development, Digital Media Marketing"
,,"Adosat Academy,
Internship",All,https://goo.gl/hvWqG9,"On Campus
Internship", Android and or IoT
,30.7.2018,Alpha 9 Marine Services,ALL,https://goo.gl/ob6gEr,On Campus,"OVERALL ENGINEERING TILL NOW ABOVE 50% AGGREGATE,OVERALL DIPLOMA TILL NOW ABOVE 50% AGGREGATE 10TH - ENGLISH (ABOVE 50 MARKS)"
,30.07.2018,rt Camp,ALL,https://goo.gl/vA1Ras,On Campus,WordPress Engineer Web Engineer
,27.07.2018,Qodors Technologies Pvt. Ltd,"CO
IT
MCA",https://goo.gl/BrLCeF,On Campus,Production Engineer or Product Testing Engineer Fresher 
,26.07.2018,Volcone Web Solutions,"CO
IT
MCA",https://goo.gl/dDjrx4,On Campus,minimum Experience to Required 1 year or More then
,26.07.2018,S.K.WEAVING PVT.LTD,"EC
EL
TT",https://goo.gl/f6DUZw,On Campus,Electronic engineer 
,26.07.2018,Thermax Ltd.,"CH
EL
CIVIL
Enviro
IC",https://goo.gl/ic7F4F,"Pooled Campus
Through Co-cube","Under Graduate Qualification BE / B.Tech (Chemical, Civil, Electrical, Environmental Science, Instrumentation and Control, Mechanical) Minimum Marks 60% Graduation in 2018"
,20.07.2018,EPAM,"CO
IT
EC",https://goo.gl/phMKy2,On Campus,"Coding knowledge in Java
Good at writing Algorithms,
Good in Data Structures and OOPs "
,20.07.2018,Patoliya Infotech,"CO
IT
MCA
ME-CO",https://goo.gl/oVJocP,On Campus,"Websites development, Mobile Application, Computer Software"
,19.07.2018,Propellum,ALL,https://goo.gl/rqnU8z,On Campus,"Business Development Executive, decision makers,Good grip on the English language. facilitation, communication, relationship building, social networking skills. 
Strategic, analytical and problem solving mindset Must have an aptitude for analytical concepts and thinking. "
,19.07.2018,Casepoint Pvt. Ltd,"CO
IT
MCA
ME-CO",https://goo.gl/tXjN5C,On Campus,"  ASP.NET & MVC (C# and VB.NET)
         Web API
         MS SQL server, PostgreSQL
         MongoDB, Redis, Memcache
         Elastic Search, Lucene
         Artificial Intelligence
         Ext.net
         Kendo UI
         JavaScript, CSS, HTML5
         TFS (Team Foundation Server)
         Big Data Analytics
         Forensic Tools & Network Security"
,18.07.2018,Rajashree Polyfil,"TT
EL
CH",https://goo.gl/KX5JQq,On Campus,
,16.07.2018,Sagar Group of Enterprises,TT,https://goo.gl/HxVyAa,On Campus,"Buisness development executive,General manager,Strong communocation , Fluency in english"
,16.07.2018,Deccan Fine Chemicals (India) Pvt.Ltd,"CH
IC",http://bit.ly/SCETDeccan,On Campus,
,16.07.2018,Dharmaj Technologies,"CO
IT
MCA
ME-CO",https://goo.gl/3fxdCN,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation,"
,09.07.2018,TCS,ALL,https://goo.gl/2rexW2,On Capmpus,"English Proficiency, Analytical & Logical Aptitude, Programming Logic, Coding"
,09.07.2018,Yantraman Automac Pvt Ltd,Mech,https://goo.gl/sKt6Pa,"On Campus
Pooled Campus","Sales & Marketing Trainee,communication,technical skill knowledge"
,09.07.2018,Envirocare  Technocrats  Pvt. Ltd.,"CH
ME-Environment
B.Sc./M.Sc. Chemistry
",https://goo.gl/y6ik4c,On Campus, chemist
,07.07.2018,TATA ELXSI,"CO
IT
EL
EC
IC",https://goo.gl/GDCz7j,"Pooled Campus
Direct","10th and 12th - 80 %, B.E/B.Tech - 70%"
,07.07.2018,GS Lab,"CO
IT
MCA
ME-CO",https://goo.gl/6jQopM,"On Campus
Through MyAnatomy Integration,","Java, Python, C, C++, programming Skills
Good problem solving and analytical skills

Good Communication,Strong understanding of networking, OS concept and databases"
,06.07.2018,Essar Steel,"CO
IT
MCA
EC
ME-CO
ME-EC",https://goo.gl/G2ff9D,On Campus," Python, Java,  .NET,JavaScript & CSS,SQL in Oracle RDBMS"
,05.07.2018,Toppr,ALL,https://goo.gl/ja1Ph6,On Campus,"Excellent Selling/Negotiation Skills,Required Experience"
,7/4/2018,ASK-EHS Engineering & Consultants Pvt. Ltd.,"CH
ME-Enviro",https://goo.gl/JPHFdV,On Campus,Good communication skills as well as with content writing
,7/4/2018,WebContrive,"CO
IT
MCA
Others",https://goo.gl/afkVFr,On Campus,"HTML/CSS/PHP/JqueryWordpress Developer,Shopify Developer
"
,7/4/2018,SPIRIT TECHNOLOGIES,"CO
IT
MCA
EC
IC",https://goo.gl/zJJB4s,On Campus,"C, C++,JAVA, C#,Communicate with other team members,mathematical skills, Strong Knowledge of object-oriented Design and data structure. "
,7/4/2018,TCIL,"CO
IT
EC
EL",https://goo.gl/pU5PHZ,"Pooled Campus
Through GTU ITAP CELL",
,7/2/2018,Everestek Technosoft solutions PVT LTD,"CO
IT
MCA
ME-CO",https://goo.gl/zZnVGq,On Campus,"HTML5 ,CSS3, Javascript,  Core & Advanced JAVA ,MySQL (Any database),Excellent Communication Skill (English & Hindi), Confident, Good logical reasoning skills, Angular JavaScript, React JavaScript, NodeJavaScript"
,7/1/2018,Addon Solutions Pvt. Ltd.,"CO
IT
MCA
ME-CO
Others",https://goo.gl/9yAF42,On Campus,"Strong communication skill in English.
Good knowledge of Computer or IT technology.
Interest in Content writing, web content or blog.
Interest in Business development, SDLC, presentation, requirement analysis."
,7/1/2018,Xcellence-IT,"CO
IT
MCA
ME-CO",https://goo.gl/wXvtrP,On Campus,"Asp.Net MVC Developer - Urgent Requirement
Senior Asp.Net MVC Developer
Senior ASP.NET C# Developer
Junior ASP.NET Developer
Business Development Executive "
,7/1/2018,REMEMPL,"EL
ME-EL",https://goo.gl/MqnCmX,On Campus,"AutoCad, Solid Edge, Solid Works ,Siemens, Schneider, AB,PLC and HMI programming"
,6/30/2018,Tecocraft,"CO
IT
MCA",https://goo.gl/TCCaoB ,On Campus,-
,6/30/2018,Bajaj Allianz,ALL,https://goo.gl/tePdhz,On Campus,2 or  more year experience
,6/28/2018,Eurofins It Solutions India Pvt Ltd,"CO
IT
EC",https://goo.gl/iokn8C,"Pooled Campus
Through First Naukri","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
,6/27/2018,L & T Hazira,"BSC(IT), 
BCA
CO
IT
MCA",https://goo.gl/cQaAEj,On Campus,-
,6/27/2018,Oracle,"CO
IT
MCA
EC
EL",https://goo.gl/LjPAxT,"Off Campus
Through Engg. Wave","0-2 years of experience,Oracle, SQL*Server,C++, ASP.net, VB.net, JAVA, C#, SOAP, XML, Web services technologies, ReportNet, PL/SQL"
,6/27/2018,Kotak Bank,All,https://goo.gl/3oe2WM,On Campus,-
,6/26/2018,Placement Season,ALL,https://goo.gl/bcJ5o4,On Campus,-
,6/26/2018,WIPRO,"CO
IT
EC
EL",https://goo.gl/qPkeH1,Pooled Campus,Project Engineer
,6/25/2018,Firstnaukri,ALL,https://goo.gl/imKBcS,Student Data,-
,6/25/2018,SaneCraft Pvt. Ltd.,"CO
IT
MCA
Others",https://goo.gl/B4Wkka,On Campus,"Junior Developer,C, C++, OOPS, Data Structures and Core PHP. Laravel and MVC knowledge is pulse.
Good knowledge & Hands on experience of HTML, CSS, JavaScript, Bootstrap, XML, Ajax and Database (MySQL)."
,6/25/2018,BIGSCAL TECHNOLOGIES (P) LTD,"CO
IT
MCA
Others",https://goo.gl/fCbRgi,On Campus,-
,6/25/2018,Triveni Global Software Services LLP,"CO
IT
MCA
Others",https://goo.gl/gTDpCF,On Campus,"AngularJavaScript 1, 2 or 5
- Asp.Net MVC
- REST API / SOAP / WCF Services
- SOLID Principal
- OOPS Fundamentals
- Repository Pattern / DI
- Entity Framework 
- LINQ
- MongoDB/Redis/Document DB
- MassTransit / Rabbit MQ, NService Bus
- AI - Machine Learning
- Azure Cloud Services/ Amazon Cloud Services
- IONIC 1 - 3"
,6/22/2018,YOLOdestin Networking Pvt. Ltd,ALL,https://goo.gl/nCJzkw,On Campus,-
,6/22/2018,Pistalix Software Solutions,"CO
IT
MCA
ME-CO
Other",https://goo.gl/LzAXfu,On Campus,"Web Developer,- MySQL, MongoDB, SQLite, UI,- iOS Developer"
,6/22/2018,Autogram,All,https://goo.gl/aWg4Tm,On Campus,-
,6/22/2018,ZS Data Science Challenge,All,https://goo.gl/RMGsSt,On Campus,-
,6/22/2018,Optimized Solutions Pvt. Ltd,"EC
EL
IC
ME-EC
ME-EL",https://goo.gl/2k8uCU,On Campus,-
,6/22/2018,Webiots,"CO
IT
MCA
ME-CO
Other",https://goo.gl/yjVHYi,On Campus,"Web Designer,Php Developer,Node.js ,Angular,React.js"
,6/18/2018,"Intellect Peritus Services, Surat",EC,https://goo.gl/Ag1ocb,On Campus,-
,6/15/2018,GACL,ALL,https://goo.gl/yU196A,On Campus,-
,6/15/2018,Sapient Global Markets,"CO
EC
IT
MCA
ME-CO
ME-EC
EL",https://goo.gl/STau71,"On Campus
Pooled Campus
Chi. University",-
,6/15/2018,VASUDEV POWER PRIVATE LIMITED,EL,https://goo.gl/u8Zhxg,On Campus, Female
,6/15/2018,Velox Automation Pvt. Ltd.,"EC
IC
EL",https://goo.gl/NsCv3d,On Campus,-
,6/12/2018,Space Education Surat.,All,https://goo.gl/gGcofG,On Campus,-
,6/12/2018,Vadraj Cement,Civil,https://goo.gl/WJVudC,On Campus,B.E Civi
,07.06.2018,Goodrich Aerospace Services Private Limited.,"EL
EC
ME EL
ME EC",https://goo.gl/pV1q5S,Pooled Campus,-
,06.06.2018,Vardhman Acrylics,TT,https://goo.gl/Y3r1ML,On Campus,-
,06.06.2018,Children national newspaper,"BE
MBA
BBA",https://goo.gl/q8Kt5t,On Campus,-
,05.06.2018,August Infotech,"CO
IT
MCA
ME-CO
Other",https://goo.gl/CcqBAW,On Campus,-
,04.06.2018,SHRI WEB SOLUTION,"CO
IT
MCA
ME-CO
Other",https://goo.gl/PoVzMj,On Campus,".Net Developer Skill: ASP.Net (3.5, 4.0), C#.Net, HTML, DHTML, HTML5, CSS, SQL server 2008, Ajax, Java Script, Jquery, MVC, Angular JavaScript"
,04.06.2018,E Team Inc,ALL,https://goo.gl/ZfDqLR,"Pooled Campus
SAL College, Ahmedabad",-
,04.06.2018,Essar Steel India Ltd.,"CO
IT
MCA
Others",https://goo.gl/rFyj29,On Campus,"Oracle, C++ and Visual Basic"
,04.06.2018,SoftTech Engineers Ltd,"CO
IT
MCA
EC
ME-CO
ME-EC",https://goo.gl/H5JUs8,On Campus,C/C++ Developer
,02.06.2018,Jsbot,"CO
IT
MCA
Others",https://goo.gl/FBcr9j,On Campus,"JavaScript,ReactJavaScript"
,01.06.2018,MyAnatomy,ALL,https://goo.gl/mhyNMG,Student Data,-
,01.06.2018,BUREAU VERITAS,"EC
EL
IC",https://goo.gl/DYbqrD,"Pooled Campus
ITM Univers Baroda",-
,6/1/2018,Home first Finance company,ALL,https://goo.gl/HmkDPe,On Campus,-
,30.5.2018,Next Data Science,"CO  
IT",https://goo.gl/bNxSNX,On Cammpus," Junior Data Scientist,Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation,Data Engineer ,ML Data Analytics Practice ,SQL"
,30.5.2018,S&S INDIA HI-TECH INDIA PRIVATE LIMITED,"EC
ME-EC",https://goo.gl/Gmy3qM,On Campus,-
,29.5.2018,Yazaki,"EC
EL
IC",https://goo.gl/6zwGTk,"Pooled Campus
Through My MYANATOMY",-
,28.5.2018,Alphadecimal Networks Pvt Ltd,"EC
EL",https://goo.gl/nnpKG1,On Campus,-
,28.5.2018,"Addon Solutions Pvt. Ltd., Ahmedabad.","CO
IT
MCA
Others",https://goo.gl/tGVXho,On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. [2]
2. Wordpress Developer [2]
3. iOS Developer [2]"
,25.5.2018,Ansaldo STS,"EC
EL",https://goo.gl/5Dq57k,"Off Campus
Through Fresherworld",-
,24.5.2018,AlmaShines Technologies Pvt. Ltd,ALL,https://goo.gl/doDHU1,On Campus," HTML/CSS. JavaScript. HTML/CSS. JavaScript. frameworks. Backend technologies. Databases and web storage.. Git/GitHub. HTTP and REST.,JavaScript MVC frameworks (Angular JavaScript preferred)
• HTML5 and CSS3 "
,23.05.2018,Digitattva Technolabs,"CO
IT
MCA
M.E-CO",https://goo.gl/Yvr3vR,On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. "
,22.05.2018,casepoint,"CO
IT
MCA
M.E-CO
Other",https://goo.gl/6V3opo,On Campus,-
,17.05.2018,Intransure Technologies Private Limited,"CO
IT
MCA
M.E-CO
Other",https://goo.gl/pHU61F,"Pooled Campus
GTU ITAP Cell",-
,17.05.2018,Aum Dia Technologies,EC,https://goo.gl/mQsDo1,On Campus,-
,14.5.2018,Malay Inofotech,"CO
IT
MCA
M.E-CO
Other",https://goo.gl/6giYxj,On Campus,"Asp.Net, C# ,VB.Net, MVC, SQL Server, Angular JavaScript, Knockout Js"
,11.05.2018,Atluz,"CO
IT
MCA
M.E-CO
Other",https://goo.gl/c2MufZ,On Campus,"C# and MS SQL,HTML and JavaScript, MVC or Angula"
,10.5.2018,CBS Software Solutions,"CO
IT
MCA
M.E-CO
Other",https://goo.gl/XQnSFF,On Campus," C# .Net Developer,Visual Studio,SQL and T-SQL 
       "
,10.5.2018,Kintu Designs,"CO
IT
MCA
M.E-CO
Other",https://goo.gl/u6PbP7,On campus,-
,10.05.2018,shyam texturisers private limited.,TT,https://goo.gl/EwVnPk,On Campus,Production supervisor
,08.05.2018,RevoKarmaHub,ALL,https://goo.gl/RPAsfE,"On Campus
Pooled Campus
Through Cocube",Analyst
,08.05.2018,Comcast Corporation,"CO
EC
IT",NA,"On Campus
Pooled Campus
Through Cocube",-
,08.05.2018,iroid Solution,"CO
IT
MCA
Others",https://goo.gl/NBZDz6,On Campus,"Web Developer,- MySQL, MongoDB, SQLite, UI,- iOS Developer"
,04.05.2018,NNC Infotech (P) Limited.,"CO
IT
MCA
M.E- CO
Other",https://goo.gl/bD36PV,On Campus,PHP or Wordpress Developer
,04.05.2018,Addon Solutions Pvt. Ltd,"CO
IT
MCA
M.E- CO
Other",https://goo.gl/PhbShz,On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.
2. Wordpress Developer
3. iOS Developer
4. Web / graphic designer"
,04.05.2018,Zignuts Technolab Pvt. Ltd.,"CO
IT
MCA
M.E- CO
EC",https://goo.gl/Cuy14v,On Campus,"Javascript Developer - MEAN Stack, jquery,OOPs concepts and web programming
"
,04.05.2018,Essar Steel India,ALL,https://goo.gl/NZvCWA,On Campus,-
,03.05.2018,DGVCL,EL,https://goo.gl/SRkPZZ,On Campus,Electrical
,03.05.2018,Engineering Council of India,"Civil
EL",https://goo.gl/xWkxPy,On Campus,-
,02.05.2018,Neoyug Tech,"CO
IT
MCA
EC
ME-CO",https://goo.gl/Z83Zz6,On Campus,"HTML5, CSS and Javascript"
,27.0.4.2018,Durga Processors,TP,https://goo.gl/1L5Y1v,On Campus,BE in TP AS a GET
,26.04.2018,Techno Samarthyam,"EC
CO
IC
IT
MCA",https://goo.gl/wacbC5,On Capmpus,"Computer Vision & Deep Learning Engineer
OpenCV C++, OpenCV Python, Image Processing, Computer Vision, Deep Learning"
,19.4.2018,Elitetechnocrats,"CO
IT
MCA",https://goo.gl/K2DSnB,On Campus,"UI/UX, web programming, ASP.net"
,19.4.2018,Garden Vareli,"CH
TT",https://goo.gl/wVbtDN,On Campus,-
,17.04.2018,arthisoft,"CO
IT
MCA",https://goo.gl/YjHiWg,On Campus,Graphic Designer
,12.4.2018,Bharat Bijlee,EL,https://goo.gl/mHVp2U,On Campus,Electrical Engineering 
,12.4.2018,"ELEGROW TECHNOLOGY, SURAT",Electrical,https://goo.gl/Zmyfav,On Campus,Design Engineer
,11.4.2018,Byju's,ALL,https://goo.gl/LZ6oBk,"Pooled Campus
SVNIT, Surat","Bussines development associate, sales,marketing"
,11.04.2018,PURE WEBLOPMENT LIMITED,"CO
IT
MCA",https://goo.gl/xbFJZT,On Campus,-
,11.04.2018,"Kevin Scientific Instruments 
Surat","EC
IC
CH",https://goo.gl/MsrLoY,On Campus,Electronics and Communication / Instrumentation Control Fresher’s  Preferable & Chemical eng.
,11.04.2018,STAAH Hotel Software Pvt. Ltd.,"CO
IT
MCA",https://goo.gl/Gdp8j4,On Campus," PHP, CGI , PERL, HTML5 , CSS3 , Jquery."
,4/5/2018,JAMES INFOTECH,"CO
IT",https://goo.gl/axZ8da,On Campus," Computer Science 
 2) Information Technology"
,4/4/2018,TCS-EngiNX-2018,ALL,https://goo.gl/nxHtfg,On Campus,-
,4/4/2018,TCS- Code Vita,ALL,https://goo.gl/Uci8Nk,On Campus,-
,4/4/2018,Essar- Group EPC Constructions India Ltd,"CO
IT
MCA",https://goo.gl/TbG7FS,On Campus,-
,4/3/2018,Alltex Exim Pvt. Ltd,ALL,https://goo.gl/Rrng5L,On Campus,"International Marketing Executive,YARNS"
,3/31/2018,TATA POWER,"EC
EL
IC",,,-
,3/31/2018,Sahajanand Technologies,EC,https://goo.gl/FPRnPm,On Campus,"Electronics problem troubleshooting
Machine testing
Hardware Installation
Analysis of machine operation
Wiring activities"
,3/28/2018,Anubha Fabrics Pvt. Ltd,"TT
TP",http://bit.ly/scetanubha,On Campus,"Fabric analysis and QA (Quality Assurance)

2. PPC (production planning & control) 

3. Technician/ Mechanical maintenance and trouble shooting for Waterjet looms "
,3/28/2018,TECHGIGS,"CO
IT
MCA",https://goo.gl/nYp7zc,On Campus," HTML5 / CSS3
-> PHP,JQuery,MySQL
->WordPress expert with Divi / Avada Theme Knowledge."
,3/27/2018,Efficienergi Consulting,EL,https://goo.gl/CYkeJC,"On Campus
Through Cocube",Jr. Engineer Product Development
,3/27/2018,Dirgh Diamond Pvt. Ltd.,"CO
IT
MCA",https://goo.gl/khCyTe,On Campus,"SQL & PLSQL,asp .net and crystal reports,ORACLE"
,3/26/2018,Xunison Ltd.,"CO
IT
MCA",https://goo.gl/oYMFzV,On Campus,"App Development ( Java , Cross Platform React Native,Swift,Python , PHP,NoSQL, Mongodb, Oracle, Rethink DB,C, C++,Html)"
,3/26/2018,Chiripal Industries Ltd,TT,http://bit.ly/scetChiripal,On Campus,-
,3/23/2018,ThinkLoud Interactive & Animation,"CO
IT
MCA",http://bit.ly/scetthinkloud,On Campus,"unior Unity Developer,Augmented Reality Mobile Applications"
,3/22/2018,Shriram Transport Finance Company Limited,ALL,http://bit.ly/ShriramTransportFinance,"On Campus
Pooled Campus
LD College",Management Trainee
,3/21/2018,PRAMA HIKVISION,"EC
EL
CO
IT",http://bit.ly/PRAMAHIKVISION,On Campus,-
,3/17/2018,Reliance Training,"EC
EL
IC
CH",http://bit.ly/Reliancedanu,On Campus,-
,3/15/2018,Axelor India,"CO
IT
MCA",http://bit.ly/2pb6v6B,On Campus,Java Developers
,3/15/2018,Premier Looms Manufacturers Pvt. Ltd.,TT,http://bit.ly/2Fx5ZtI,On Campus,"Textiles Looms (Weaving machines), i.e. Rapier Looms (Shuttle-less Looms) and Power Looms (Shuttle Looms)."
,3/14/2018,Saudagar Enterprise.,TT,https://goo.gl/forms/4mPfidkcNZYQsSrj1,On Campus,Textile Designer
,3/14/2018,Asha's Hr Consultancy,"CO
IT
MCA",http://bit.ly/2paj6pT,On Campus,.Net 
,3/13/2018,AnTim Technologies LLP,"CO
IT
MCA",https://goo.gl/forms/4mM5B4LZNJTGPVSo2,On Campus,.Net Developer:
,3/13/2018,Waaree Energies Ltd.,"EC
EL
IC",https://goo.gl/forms/Nn7HpLbESSrusJ7x1,On Campus,"Male,B.E./B Tech. (Electronics & Telecommunication, Electronics & Electrical, and Electronics & Instrumentation, Mechanical, Electrical, Instrumentation "
,3/13/2018,Captial First,ALL,https://goo.gl/forms/Jr2KPUgCM0raCVY83,"Pooled Campus
Co-Cube",-
,3/8/2018,Hexaware,"CO
IT
MCA
EC
EE",https://goo.gl/G5skVE,"On Campus
Through Cocube","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation Trainee"
,3/7/2018,SRK Group,"CO
IT
MCA",https://goo.gl/7hKGhK,On Campus,OOPs
,3/5/2018,R Wadiwala,"CO
IT
MCA",https://goo.gl/4pCU8U,On Campus,".NET and MS SQL Server Database,C#, ASP.Net, Ajax, Java Script, Jquery, CSS, HTML,Devexpress, cordova and xcode"
,3/5/2018,JNJ Machines Pvt. Ltd,Mech,https://goo.gl/wCvooN,"On Campus
Pooled Campus",GET of Mechanical Stream
,03.03.2018,Harman,"CO
IT
EC
MCA",https://goo.gl/Mw9RpH,"On Campus
Through Eltimus",-
,03.03.2018,Nagin Mokani & Associates,Civil,https://goo.gl/bB9Jtb,On Campus,civil engineers.
,3/1/2018,Justdial Ltd,ALL,https://goo.gl/6dfhwM,On Campus,"showing, promoting, and selling products or services."
,3/1/2018,ZS Associates,All,https://goo.gl/hvRm3j,On Campus,Business Operations Associate 
,28.02.2018,VVF India Ltd.,"EL
IC","https://goo.gl/zKLZL7
",On Campus,-
,2/23/2018,HackerEarth,"CO
IT
MCA",https://goo.gl/oHwnv6,On Campus,"Data Analyst, MySQL,HTML5, JQuery, JavaScript, Ajax,Django web framework"
,2/23/2018,Flexpro Electricals Pvt. Ltd.,ALL,https://goo.gl/Rd4hqm,On Campus," Quality Engineer,B. Tech & M. Tech - Electrical Engineering;"
,2/21/2018,Bluemarble Professionals - Through GTU ITAP Cell,ALL,https://goo.gl/2Ks537,On Campus,Marketing Executive .Customer Service Executive (Female)
,2/21/2018,JRD Denims Limited,TT,https://goo.gl/t21ZgL,On Campus,"Textile Engg. Graduates,Spinning & Weaving Technology
,Textile Designing & Merchandising, Processing"
,19.02.2018,JUSPAY,"CO
IT
EC",https://goo.gl/xC3m9E,"On Campus
Pooled Campus",Dev Developer
,2/15/2018,Epic Research – Through GTU ITAP Cell,All,https://goo.gl/nVutCC ,On Campus, Associate Financial Consultant 
,2/14/2018,Prime Numbers Technologies,All,https://goo.gl/MwpvAJ,"On Campus
Off Campus
Pooled Campus",Business Development Associate
,2/14/2018,Capital First Limited,All,https://goo.gl/MCwDY2,"On Campus
Pooled Campus","Operations Officer,Customer Service Officer,Credit Manager,Relationship Manager"
,2/8/2018,Knoxpo,"CO
IT
MCA",https://goo.gl/VrDpWR,On Campus,"1. Jr. Web developer
2. Jr. Mobile developer"
,2/8/2018,VRW Rubber Industries Pvt Ltd,All,https://goo.gl/S5jfvH,On Campus,-
,2/6/2018,CoCubes,ALL,https://goo.gl/ikfTox ,On Campus,-
,2/6/2018,First Naukri,All,https://goo.gl/xMxak7,On Campus,-
,2/5/2018,Tenacious Techies,"CO
IT
MCA",https://goo.gl/ZEDAHk,On Campus,"PHP 
Android , ASP.net"
,"05-02-2018
12-03-2018",C.Dinesh Co. Pvt. Ltd,"CO
IT
MCA",https://goo.gl/VG82kM,On Campus,"MySQL, MongoDB, SQLite, UI, ( I.O.S )"
,2/5/2018,Nish Automation,"EC
EL
IC",https://goo.gl/WabCXd,On Campus,"GET Electricals ,GET Instrumentation total 

GET Electronics & Communication"
,2/3/2018,Hodusoft Pvt Ltd (Through First Naukri),"CO
IT",https://goo.gl/Ywor6g,"On Campus
Pooled Campus",PHP/Javascript
,2/2/2018,"Accenture Solutions Pvt ltd
(Through Elitmus)","CO
IT
MCA",https://goo.gl/WpZWxU,"On Campus
Pooled Campus",-
,2/2/2018,"Keyence India Private Limited
(Through First Naukri)",ALL,https://goo.gl/pbgSK6,"On Campus
Pooled Campus",Sales Application Engineer
,1/29/2018,ICICI -Stock Mind 6,All,https://goo.gl/sDpR1L,On Campus,-
,1/29/2018,Barclays Hackathon 2018,ALL,https://goo.gl/9DBkp8,On Campus,-
,1/29/2018,MoneyView,All,https://goo.gl/g7h8gf,"Pooled Campus
Through Eltimus","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation.data structures / OOPs / CS fundamentals / algorithms "
,1/25/2018,Jinaam Dresses (P) Ltd,"TT
EL
EC",https://goo.gl/kikJzx,On Campus, Electro-Mechanical
,1/25/2018,"Atidan, Mumbai","CO
IT",https://goo.gl/6sq2re,"Pooled Campus
Marwadi University, Rajkot",Java & .Net 
,1/24/2018,INDIAN AIR FORCE,All,https://goo.gl/p3oNUx,Seminar,-
